mosi,miso
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0xF8
0xFF,0xEC
0xFF,0x00
0xFF,0x28
0xFF,0x3B
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x02
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x01
0xFF,0x00
0xFF,0x06
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x80
0xFF,0x00
0xFF,0x29
0xFF,0x43
0xFF,0x70
0xFF,0xA9
0xFF,0x2E
0xFF,0x4E
0xFF,0x4F
0xFF,0x20
0xFF,0x4E
0xFF,0x41
0xFF,0x4D
0xFF,0x45
0xFF,0x20
0xFF,0x20
0xFF,0x20
0xFF,0x20
0xFF,0x46
0xFF,0x41
0xFF,0x54
0xFF,0x33
0xFF,0x32
0xFF,0x20
0xFF,0x20
0xFF,0x20
0xFF,0x0E
0xFF,0x1F
0xFF,0xBE
0xFF,0x77
0xFF,0x7C
0xFF,0xAC
0xFF,0x22
0xFF,0xC0
0xFF,0x74
0xFF,0x0B
0xFF,0x56
0xFF,0xB4
0xFF,0x0E
0xFF,0xBB
0xFF,0x07
0xFF,0x00
0xFF,0xCD
0xFF,0x10
0xFF,0x5E
0xFF,0xEB
0xFF,0xF0
0xFF,0x32
0xFF,0xE4
0xFF,0xCD
0xFF,0x16
0xFF,0xCD
0xFF,0x19
0xFF,0xEB
0xFF,0xFE
0xFF,0x54
0xFF,0x68
0xFF,0x69
0xFF,0x73
0xFF,0x20
0xFF,0x69
0xFF,0x73
0xFF,0x20
0xFF,0x6E
0xFF,0x6F
0xFF,0x74
0xFF,0x20
0xFF,0x61
0xFF,0x20
0xFF,0x62
0xFF,0x6F
0xFF,0x6F
0xFF,0x74
0xFF,0x61
0xFF,0x62
0xFF,0x6C
0xFF,0x65
0xFF,0x20
0xFF,0x64
0xFF,0x69
0xFF,0x73
0xFF,0x6B
0xFF,0x2E
0xFF,0x20
0xFF,0x20
0xFF,0x50
0xFF,0x6C
0xFF,0x65
0xFF,0x61
0xFF,0x73
0xFF,0x65
0xFF,0x20
0xFF,0x69
0xFF,0x6E
0xFF,0x73
0xFF,0x65
0xFF,0x72
0xFF,0x74
0xFF,0x20
0xFF,0x61
0xFF,0x20
0xFF,0x62
0xFF,0x6F
0xFF,0x6F
0xFF,0x74
0xFF,0x61
0xFF,0x62
0xFF,0x6C
0xFF,0x65
0xFF,0x20
0xFF,0x66
0xFF,0x6C
0xFF,0x6F
0xFF,0x70
0xFF,0x70
0xFF,0x79
0xFF,0x20
0xFF,0x61
0xFF,0x6E
0xFF,0x64
0xFF,0x0D
0xFF,0x0A
0xFF,0x70
0xFF,0x72
0xFF,0x65
0xFF,0x73
0xFF,0x73
0xFF,0x20
0xFF,0x61
0xFF,0x6E
0xFF,0x79
0xFF,0x20
0xFF,0x6B
0xFF,0x65
0xFF,0x79
0xFF,0x20
0xFF,0x74
0xFF,0x6F
