mosi,miso
,
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
,
,
0x40,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x95,0xFF
0xFF,0xFF
0xFF,0x01
0x48,0xFF
0x00,0xFF
0x00,0xFF
0x01,0xFF
0xAA,0xFF
0x87,0xFF
0xFF,0xFF
0xFF,0x01
0xFF,0x00
0xFF,0x00
0xFF,0x01
0xFF,0xAA
0x7B,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x01,0xFF
0x83,0xFF
0xFF,0xFF
0xFF,0x01
0x77,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x65,0xFF
0xFF,0xFF
0xFF,0x01
0x69,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0xE5,0xFF
0xFF,0xFF
0xFF,0x01
0x50,0xFF
0x00,0xFF
0x00,0xFF
0x02,0xFF
0x00,0xFF
0x15,0xFF
0xFF,0xFF
0xFF,0x05
0x49,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0xAF,0xFF
0xFF,0xFF
0xFF,0x05
,
,
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
,
,
0x40,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x95,0xFF
0xFF,0xFF
0xFF,0x01
0x48,0xFF
0x00,0xFF
0x00,0xFF
0x01,0xFF
0xAA,0xFF
0x87,0xFF
0xFF,0xFF
0xFF,0x01
0xFF,0x00
0xFF,0x00
0xFF,0x01
0xFF,0xAA
0x7B,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x01,0xFF
0x83,0xFF
0xFF,0xFF
0xFF,0x01
0x77,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x65,0xFF
0xFF,0xFF
0xFF,0x01
0x69,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0xE5,0xFF
0xFF,0xFF
0xFF,0x01
0x50,0xFF
0x00,0xFF
0x00,0xFF
0x02,0xFF
0x00,0xFF
0x15,0xFF
0xFF,0xFF
0xFF,0x05
0x49,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0xAF,0xFF
0xFF,0xFF
0xFF,0x05
